type,keyword,value,japanese
importance,World Baseball Classic Qualifiers,45,WBC予選
importance,WBC|World Baseball Classic,100,ワールド・ベースボール・クラシック
importance,Premier12,50,プレミア12
importance,World Cup,50,ワールドカップ
importance,Olympic,50,オリンピック
importance,Central American & Caribbean Games|Central American and Caribbean Games,20,中米&カリビアンゲームズ
importance,European Championship|European Baseball Championship,20,欧州野球選手権
importance,Panamericano|Pan American Games,20,パンアメリカンゲームズ
importance,West Asian Cup|West Asia Cup,20,西アジアカップ
importance,Asian Baseball Championship,20,アジア野球選手権
importance,South American Championship,20,南米野球選手権
importance,Pan American Championship,20,パンアメリカン野球選手権
importance,Caribbean Baseball Cup,20,カリビアン野球カップ
importance,Pacific Mini Games,20,パシフィックミニゲームズ
importance,Asian Championship,20,アジア選手権
importance,East Asia Cup,20,東アジアカップ
importance,Asian Games,20,アジア大会
importance,SEA Games,20,SEAゲームズ
importance,Copa Centroamericana de Béisbol Masculino,10,中米野球カップ
importance,Juegos Sudamericanos de la Juventud,10,南米ユース大会
importance,Campeonato Internacional,10,国際選手権
importance,Juegos Centroamericanos,10,中米大会
importance,Caribbean Baseball Cup,10,カリビアン野球カップ
importance,Oceania Championship,10,オセアニア選手権
importance,Torneo Internacional,10,国際選手権
importance,Juegos Bolivarianos,10,ボリバリアンゲームズ
importance,ALBA Sports Game,10,アルバスポーツ大会
importance,Japan Series,5,侍ジャパンシリーズ
importance,Friendly,5,新全試合
age,U-23,0.1,U-23
age,U-18,0.1,U-18
age,U-15,0.1,U-15
age,U-12,0.1,U-12
age,U-10,0.1,U-10
age,U23,0.1,U-23
age,U18,0.1,U-18
age,U15,0.1,U-15
age,U12,0.1,U-12
age,U10,0.1,U-10
age,Juventud,0.1,ユース
